,0
645,326150
646,32616
647,326160
648,32619
649,326191
650,326192
651,326199
652,3262
653,32621
654,326211
655,326212
656,32622
657,326220
658,32629
659,326291
660,326299
661,327
662,3271
663,32711
664,327111
665,327112
666,327113
667,32712
668,327121
669,327122
670,327123
671,327124
672,327125
673,3272
674,32721
675,327211
676,327212
677,327213
678,327215
679,3273
680,32731
681,327310
682,32732
683,327320
684,32733
685,327331
686,327332
687,32739
688,327390
689,3274
690,32741
691,327410
692,32742
693,327420
694,3279
695,32791
696,327910
697,32799
698,327991
699,327992
700,327993
701,327999
702,331
703,3311
704,33111
705,331111
706,331112
707,3312
708,33121
709,331210
710,33122
711,331221
712,331222
713,3313
714,33131
715,331311
716,331312
717,331314
718,331315
719,331316
720,331319
721,3314
722,33141
723,331411
724,331419
725,33142
726,331421
727,331422
728,331423
729,33149
730,331491
731,331492
732,3315
733,33151
734,331511
735,331512
736,331513
737,33152
738,331521
739,331522
740,331524
741,331525
742,331528
743,332
744,3321
745,33211
746,332111
747,332112
748,332114
749,332115
750,332116
751,332117
752,3322
753,33221
754,332211
755,332212
756,332213
757,332214
758,3323
759,33231
760,332311
761,332312
762,332313
763,33232
764,332321
765,332322
766,332323
767,3324
768,33241
769,332410
770,33242
771,332420
772,33243
773,332431
774,332439
775,3325
776,33251
777,332510
778,3326
779,33261
780,332611
781,332612
782,332618
783,3327
784,33271
785,332710
786,33272
787,332721
788,332722
789,3328
790,33281
791,332811
792,332812
793,332813
794,3329
795,33291
796,332911
797,332912
798,332913
799,332919
800,33299
801,332991
802,332992
803,332993
804,332994
805,332995
806,332996
807,332997
808,332998
809,332999
810,333
811,3331
812,33311
813,333111
814,333112
815,33312
816,333120
817,33313
818,333131
819,333132
820,3332
821,33321
822,333210
823,33322
824,333220
825,33329
826,333291
827,333292
828,333293
829,333294
830,333295
831,333298
832,3333
833,33331
834,333311
835,333312
836,333313
837,333314
838,333315
839,333319
840,3334
841,33341
842,333411
843,333412
844,333414
845,333415
846,3335
847,33351
848,333511
849,333512
850,333513
851,333514
852,333515
853,333516
854,333518
855,3336
856,33361
857,333611
858,333612
859,333613
860,333618
861,3339
862,33391
863,333911
864,333912
865,333913
866,33392
867,333921
868,333922
869,333923
870,333924
871,33399
872,333991
873,333992
874,333993
875,333994
876,333995
877,333996
878,333997
879,333999
880,334
881,3341
882,33411
883,334111
884,334112
885,334113
886,334119
887,3342
888,33421
889,334210
890,33422
891,334220
892,33429
893,334290
894,3343
895,33431
896,334310
897,3344
898,33441
899,334411
900,334412
901,334413
902,334414
903,334415
904,334416
905,334417
906,334418
907,334419
908,3345
909,33451
910,334510
911,334511
912,334512
913,334513
914,334514
915,334515
916,334516
917,334517
918,334518
919,334519
920,3346
921,33461
922,334611
923,334612
924,334613
925,335
926,3351
927,33511
928,335110
929,33512
930,335121
931,335122
932,335129
933,3352
934,33521
935,335211
936,335212
937,33522
938,335221
939,335222
940,335224
941,335228
942,3353
943,33531
944,335311
945,335312
946,335313
947,335314
948,3359
949,33591
950,335911
951,335912
952,33592
953,335921
954,335929
955,33593
956,335931
957,335932
958,33599
959,335991
960,335999
961,336
962,3361
963,33611
964,336111
965,336112
966,33612
967,336120
968,3362
969,33621
970,336211
971,336212
972,336213
973,336214
974,3363
975,33631
976,336311
977,336312
978,33632
979,336321
980,336322
981,33633
982,336330
983,33634
984,336340
985,33635
986,336350
987,33636
988,336360
989,33637
990,336370
991,33639
992,336391
993,336399
994,3364
995,33641
996,336411
997,336412
998,336413
999,336414
1000,336415
1001,336419
1002,3365
1003,33651
1004,336510
1005,3366
1006,33661
1007,336611
1008,336612
1009,3369
1010,33699
1011,336991
1012,336992
1013,336999
1014,337
1015,3371
1016,33711
1017,337110
1018,33712
1019,337121
1020,337122
1021,337124
1022,337125
1023,337127
1024,337129
1025,3372
1026,33721
1027,337211
1028,337212
1029,337214
1030,337215
1031,3379
1032,33791
1033,337910
1034,33792
1035,337920
1036,339
1037,3391
1038,33911
1039,339111
1040,339112
1041,339113
1042,339114
1043,339115
1044,339116
1045,3399
1046,33991
1047,339911
1048,339912
1049,339913
1050,339914
1051,33992
1052,339920
1053,33993
1054,339931
1055,339932
1056,33994
1057,339941
1058,339942
1059,339943
1060,339944
1061,33995
1062,339950
1063,33999
1064,339991
1065,339992
1066,339993
1067,339994
1068,339995
1069,339999
1070,42
1071,423
1072,4231
1073,42311
1074,423110
1075,42312
1076,423120
1077,42313
1078,423130
1079,42314
1080,423140
1081,4232
1082,42321
1083,423210
1084,42322
1085,423220
1086,4233
1087,42331
1088,423310
1089,42332
1090,423320
1091,42333
1092,423330
1093,42339
1094,423390
1095,4234
1096,42341
1097,423410
1098,42342
1099,423420
1100,42343
1101,423430
1102,42344
1103,423440
1104,42345
1105,423450
1106,42346
1107,423460
1108,42349
1109,423490
1110,4235
1111,42351
1112,423510
1113,42352
1114,423520
1115,4236
1116,42361
1117,423610
1118,42362
1119,423620
1120,42369
1121,423690
1122,4237
1123,42371
1124,423710
1125,42372
1126,423720
1127,42373
1128,423730
1129,42374
1130,423740
1131,4238
1132,42381
1133,423810
1134,42382
1135,423820
1136,42383
1137,423830
1138,42384
1139,423840
1140,42385
1141,423850
1142,42386
1143,423860
1144,4239
1145,42391
1146,423910
1147,42392
1148,423920
1149,42393
1150,423930
1151,42394
1152,423940
1153,42399
1154,423990
1155,424
1156,4241
1157,42411
